WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
F1/16-35-034-08W4/0,TAC 4-12 HZ 1F1 PROVOST 16-35-34-8,0498909,A8AF,Hertz & Paluck Energy Services Inc.,1,19 Dec 2020 07:30:00 AM,Wainwright,A5TT,Tamarack Acquisition Corp.,,Set Surface,2020-12-19,35034084,51,12,2020,35034084,51.96184194,-111.0209957
02/03-26-035-08W4/0,KARVE 102 HZ PROVOST 3-26-35-8,0498835,A57H,Predator Drilling Inc.,27,18 Dec 2020 08:00:00 AM,Wainwright,A7BT,Karve Energy Inc.,,Set Surface,2020-12-19,26035084,51,12,2020,26035084,52.03397807,-111.02884750000001
00/02-17-039-10W5/0,SANSUM HZ PHOENIX 2-17-39-10,0498737,A2EN,Ironhand Drilling Inc.,6,19 Dec 2020 11:00:00 AM,Red Deer,A7KN,Sansum Energy Inc.,,Drill To LD,2020-12-19,17039105,51,12,2020,17039105,52.35588565,-115.3928493
00/13-25-048-06W4/0,HUSKY 3HZ T3 WILDMERE 13-25-48-6,0497592,0Y52,Precision Drilling Corporation,197,19 Dec 2020 12:00:00 PM,Wainwright,0R46,Husky Oil Operations Limited,,Drill To LD,2020-12-19,25048064,51,12,2020,25048064,53.168804,-110.73664709999998
02/08-12-048-11W5/0,RIDGEBACK HZ 102 PEMBINA 8-12-48-11,0498622,0Y52,Precision Drilling Corporation,309,18 Dec 2020 06:00:00 PM,Drayton Valley,A7G2,Ridgeback Resources Inc.,,Drill To LD,2020-12-19,12048115,51,12,2020,12048115,53.1269422,-115.46447620000001
02/02-35-058-17W4/0,Caltex_Res 102 HZ BELLIS 2-35-58-17,0498880,A08C,Savanna Drilling Corp.,437,18 Dec 2020 11:00:00 PM,Bonnyville,A60R,Caltex Resources Ltd.,,Drill To LD,2020-12-19,35058174,51,12,2020,35058174,54.05679217,-112.40630700000001
00/04-21-073-25W4/0,SPL 5-22 HZ MARTENH 4-21-73-25,0498548,0Y52,Precision Drilling Corporation,147,18 Dec 2020 07:31:00 PM,St. Albert,A7GR,Spur Petroleum Ltd.,,Resumption,2020-12-19,21073254,51,12,2020,21073254,55.33721458,-113.77584099999999
02/01-03-077-06W5/0,SPL 16-33 HZ 102 NIPISI 1-3-77-6,0498523,A2CL,Komat Drilling Ltd.,3,18 Dec 2020 09:15:00 PM,St. Albert,A7GR,Spur Petroleum Ltd.,,Set Surface,2020-12-19,3077065,51,12,2020,3077065,55.64309206,-114.8293699
00/08-09-077-06W5/0,SPL 16-33 HZ NIPISI 8-9-77-6,0498528,A2CL,Komat Drilling Ltd.,3,19 Dec 2020 02:00:00 PM,St. Albert,A7GR,Spur Petroleum Ltd.,,Set Surface,2020-12-19,9077065,51,12,2020,9077065,55.65755009,-114.85524240000001
02/07-07-078-13W6/0,BIR 4-4 HZ 102 PCOUPES 7-7-78-13,0498824,0Z41,Ensign Drilling Inc.,137,19 Dec 2020 06:54:00 AM,Grande Prairie,A12R,Birchcliff Energy Ltd.,,Drill To LD,2020-12-19,7078136,51,12,2020,7078136,55.74489822,-119.99152509999999
